Gene,Pattern_1 x Pattern_4,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
CRABP2,vsBoth,2209,3,2,26.2239833610811,2.02085133869145e-06,3.00351261280491e-06,-3.98082929704666,-5.08062411494514,-1.77928987254926,6.8675255401412e-05,3.76196847997356e-07,0.0751922504684069,0.000237617450074839,1.47170848845666e-06,0.169040321613816
APOD,vsBoth,2209,3,2,26.1532060367372,2.09364703819726e-06,3.10800239101705e-06,-5.10314300514589,-4.51337233179339,1.31591872428559,3.34058371422536e-07,6.38048639697086e-06,0.188201323420759,1.30925420204722e-06,2.35890529925481e-05,0.392520977102896
TMEM249,vsBoth,2209,3,2,25.3782277529172,3.08452193654275e-06,4.55027611636512e-06,-4.7492526124532,-3.15194284153135,3.11054561089302,2.04169782722942e-06,0.00162188018618508,0.00186742053244466,7.74258377567542e-06,0.00486946488865965,0.00555613192578587
SBK1,vsBoth,2209,3,2,24.7977502468957,4.12322421810054e-06,6.05141019563824e-06,-4.37579121198709,-2.467406182311,3.65142709413301,1.20992787287571e-05,0.0136095879791624,0.000260787134196621,4.39897496673105e-05,0.0348069605906095,0.000858819777237939
IGFBP7,vsBoth,2209,3,2,24.6397799116221,4.46210488564227e-06,6.5424251359016e-06,-2.05434703164082,-4.12651555855561,-3.62464090476344,0.0399421157543822,3.68301097694039e-05,0.000289363225854991,0.0940731289664781,0.000129758258794926,0.000948719673366024
PERM1,vsBoth,2209,3,2,23.8944554215723,6.47716456308286e-06,9.43950238717752e-06,-4.88550265208592,-4.06731280583568,1.71591051045905,1.03165317194814e-06,4.75583847956806e-05,0.0861784227181031,3.95801336748998e-06,0.000166328382846342,0.191564123789123
PARP9,vsBoth,2209,3,2,23.701059685307,7.13477499691331e-06,1.03764753590475e-05,-4.49377849408058,-2.83334555643407,3.21131950981245,6.99704106541776e-06,0.00460635610467542,0.00132126940556752,2.5818516669869e-05,0.0128609539399516,0.00401174389774256
FARP1,vsBoth,2209,3,2,23.3901978276763,8.33456765745472e-06,1.2093193597551e-05,-4.09261310856594,-2.12137882683578,3.75032358189761,4.26539067684499e-05,0.0338899355959596,0.000176606521634439,0.000149547343221869,0.0808117882820139,0.000590506662746437
CD59,vsBoth,2209,3,2,23.1651982705207,9.32698137361901e-06,1.34980537891505e-05,-4.80985253015292,-3.99644608827293,1.70352518290221,1.51041688610284e-06,6.43005166701436e-05,0.088469829379909,5.75723978866769e-06,0.000223029123782977,0.196298628146161
EIF1AX,vsBoth,2209,3,2,22.9170044168304,1.05593143748798e-05,1.52606599884518e-05,-4.21425569637829,-2.38598670989509,3.49924413133196,2.50603247869167e-05,0.0170333666023027,0.000466579171584799,8.93689016374186e-05,0.0428724233613189,0.00149752256259824
GTF2I,vsBoth,2209,3,2,22.7842567879443,1.12839590487726e-05,1.62923924896919e-05,-4.29884427239395,-2.56126865783721,3.34033697746173,1.7169104998867e-05,0.0104290673198154,0.000836767910453941,6.18962786254154e-05,0.0272499957067028,0.0026033320330011
