Gene,Pattern_1 x Pattern_4,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
PHACTR2,vsBoth,2207,3,2,41.9855985397555,7.63735745170812e-10,5.51848839188923e-09,-3.31167000368846,-5.74969150968417,-4.21559956404928,0.000927408719861144,8.94064297757527e-09,2.49115453706754e-05,0.00263874688923131,6.3622095343655e-08,0.000102359320087429
RPL24,vsBoth,2207,3,2,41.7008553778182,8.805911356589e-10,6.32380887127915e-09,-5.91535076903993,-3.66194271187978,4.34817211828235,3.31169051479767e-09,0.000250309842265309,1.37276855302378e-05,2.49750481672982e-08,0.000827574452519008,5.92452562408983e-05
CNIH1,vsBoth,2207,3,2,41.6936678002458,8.83761487582856e-10,6.34225290986743e-09,-5.47974689290593,-2.85678796011504,4.99050571056077,4.25934709488736e-08,0.00427951620801942,6.02214201094219e-07,2.77891100619958e-07,0.00994836390782888,3.32390201394236e-06
FRZB,vsBoth,2207,3,2,41.1178448003307,1.17861902671696e-09,8.33618761091852e-09,-2.16891555314976,-5.02357867372587,-5.02201881345992,0.0300890957202649,5.07174348459078e-07,5.1131173491012e-07,0.0566135262467827,2.83153391852714e-06,2.85296405478396e-06
RPL37,vsBoth,2207,3,2,40.9310505022702,1.2940030923177e-09,9.1155617369221e-09,-6.23822030880623,-4.55324341747012,3.34268220793557,4.42577065813668e-10,5.28250902088617e-06,0.000829728624365584,3.70020270936478e-09,2.47325374151166e-05,0.00240283972074317
LDHA,vsBoth,2207,3,2,40.7697523384928,1.40268697873537e-09,9.83514630347893e-09,-4.90878067008035,-2.019613591485,5.44027039603308,9.16444009965989e-07,0.0434234842362012,5.31997635828379e-08,4.91430228939627e-06,0.0788767453690795,3.42485438443022e-07
XAF1,vsBoth,2207,3,2,40.3311863002794,1.74660287457274e-09,1.21255099068361e-08,-4.91786583848461,-2.0616729602577,5.38145738734305,8.74928407212998e-07,0.0392388825880202,7.38851951686655e-08,4.70666446375056e-06,0.0719429762394647,4.64377208879442e-07
RPL36A,vsBoth,2207,3,2,40.2893276755032,1.78354329209509e-09,1.23575327735756e-08,-5.69397835885944,-3.36064665819814,4.48069079560424,1.24112822661553e-08,0.00077760235078214,7.44018345129016e-06,8.69153992886661e-08,0.00226863406160434,3.38442657867663e-05
SYT1,vsBoth,2207,3,2,40.2807147138107,1.79124064948595e-09,1.24067851691877e-08,-6.33730995617432,-5.56768511575278,1.70234770892572,2.33811330541546e-10,2.58145772733322e-08,0.0886902062689692,2.03315744004166e-09,1.73399113352538e-07,0.151052403289831
IRX1,vsBoth,2207,3,2,39.6813128241573,2.41719898323522e-09,1.64983422665261e-08,-4.55959919806987,-6.1656662566883,-2.65737253790868,5.12513431420768e-06,7.0186980674599e-10,0.00787523642550159,2.40626694683287e-05,5.73439288390586e-09,0.0168995350003176
PROM1,vsBoth,2207,3,2,39.6297946605105,2.48027268234531e-09,1.69124095200698e-08,-6.08765052775921,-6.01849573429819,0.430705010830874,1.14579633012125e-09,1.76045352264643e-09,0.666682874905868,9.1189210430856e-09,1.36910881643076e-08,0.915434167206748
HMGB1,vsBoth,2207,3,2,39.3581760092804,2.84106173399319e-09,1.92355947092662e-08,-4.86933876047703,-2.05335248008755,5.30674461454039,1.11972306590663e-06,0.0400384044866596,1.11600363778064e-07,5.92447708651817e-06,0.0732728134770562,6.82982777684306e-07
CRYAB,vsBoth,2207,3,2,39.3391579482847,2.86820633153292e-09,1.94069066812456e-08,-2.45214626366104,-5.1264631911409,-4.68359570845862,0.01420069263839,2.95235744722529e-07,2.81885740477489e-06,0.0286102042989023,1.70962094036999e-06,1.38666864431763e-05
EGLN1,vsBoth,2207,3,2,38.874901304365,3.61761578080999e-09,2.42285964722398e-08,-4.92008687538214,-2.1628255067533,5.20374232424982,8.65058070862821e-07,0.0305546030088529,1.95314779276498e-07,4.65531626746042e-06,0.0574026411992195,1.16082164893784e-06
SNAI1,vsBoth,2207,3,2,38.7087645530581,3.93095956585406e-09,2.62354507610215e-08,-2.29564930799542,-4.99860216686308,-4.74294479911601,0.021695941051462,5.77474072686557e-07,2.10633679891507e-06,0.0420625099531899,3.2027832793685e-06,1.05964431196298e-05
MGST1,vsBoth,2207,3,2,38.5925453393888,4.16615341333017e-09,2.77524035469069e-08,-6.15461449428307,-4.78533768733789,2.77101139006991,7.52603370345647e-10,1.70700088138633e-06,0.00558824719928384,6.12064683608282e-09,8.71766902773274e-06,0.012508518558743
AKR1C3,vsBoth,2207,3,2,38.5533638779104,4.24857612755565e-09,2.82746364521786e-08,-2.20645336739422,-4.93399727372698,-4.7916359485233,0.0273522719035353,8.05635644879663e-07,1.65426869369193e-06,0.0518834330920596,4.35846905179088e-06,8.46898922872483e-06
CLDN8,vsBoth,2207,3,2,37.8091016709732,6.1639327141552e-09,4.03711726102736e-08,-5.20015336746043,-6.14872339892183,-1.44329839262997,1.99124150218675e-07,7.81090554174915e-10,0.148936432394832,1.180521747725e-06,6.33612691750671e-09,0.241658813555418
KRT17,vsBoth,2207,3,2,37.7998343917557,6.19256043096515e-09,4.05334725941087e-08,-3.08503726029597,-5.42464380653708,-4.05010798083512,0.00203526654213449,5.80702222670718e-08,5.11940045563149e-05,0.00521846860977982,3.71252693596249e-07,0.000197993020052685
