Gene,Pattern_6 x Pattern_7,KW.obs.tot,KW.obs.groups,KW.df,KW.statistic,KW.pvalue,KW.p.adj,Dunn.zP1_Int,Dunn.zP2_Int,Dunn.zP2_P1,Dunn.pval_1_Int,Dunn.pval_2_Int,Dunn.pval_2_1,Dunn.pval_1_Int.adj,Dunn.pval_2_Int.adj,Dunn.pval_2_1.adj
AC026401.3,vsPattern_7,431,3,2,13.3652394093385,0.00125249251049321,0.0219872227947587,-1.13091462459962,-3.58030228219898,-1.63039620814225,0.258091027246879,0.000343196950307871,0.103017785559676,0.350941324189857,0.00156002266295739,0.1574165006138
RAB1B,vsBoth,431,3,2,13.3601246021593,0.00125569973867595,0.0219993052512065,-2.27209963994577,-3.61264576077578,-0.386559959338852,0.0230804928625275,0.000303088631591193,0.699082005575106,0.0419934149490682,0.00142477019913266,0.808459735731993
APLP2,vsPattern_7,431,3,2,13.3601486527303,0.00125568463861889,0.0219993052512065,-1.15303517036898,-3.58430158842867,-1.6090070067719,0.248895949040083,0.000337981376368974,0.107614809524726,0.340602434526836,0.00154830612171475,0.163717316859891
HSPB11,vsBoth,431,3,2,13.3563952271245,0.00125804341073314,0.0220182808169096,-3.3591847793788,-2.91430134121046,1.38665573169372,0.000781727781764213,0.00356485616345968,0.165546765337745,0.00269408332150949,0.0084944133608631,0.240066848476226
PEBP1,vsBoth,431,3,2,13.3272305869974,0.00127652301267373,0.0223193468091813,-2.48667744743043,-3.55351639013084,-0.100062683906288,0.0128942247322763,0.000380117510118945,0.920294560529374,0.0253263312704763,0.00165853222778198,1
TXNDC12,vsPattern_7,431,3,2,13.3030320744762,0.00129206180608595,0.0225684435669034,-1.3940400686821,-3.61843295542783,-1.36835204634099,0.163305505222107,0.000296392258796767,0.171201906765631,0.237046169401857,0.00140504937872645,0.247144366370793
DMAC1,vsBoth,431,3,2,13.285459920743,0.00130346397725748,0.0227221609688188,-3.07856594602416,-3.21997401592539,0.827733972463983,0.00207999488700654,0.00128202216461871,0.407821175105116,0.00545679919568441,0.00373874601414439,0.52003226690693
BRICD5,vsBoth,431,3,2,13.2865440298361,0.00130275762014174,0.0227221609688188,-2.66955823901826,-3.47831326419319,0.164131221430138,0.00759511002914859,0.000504579864979152,0.869627843944162,0.0161382621612264,0.00200848707990816,0.956372718228551
ANKMY2,vsPattern_7,431,3,2,13.2723610592344,0.0013120289415213,0.0228259058979607,-0.893878959726393,-3.51088484567255,-1.83816223929156,0.371386656335541,0.000446617821272064,0.0660385021681406,0.48042937063095,0.00184984891143164,0.10621940899915
SHISA2,vsPattern_7,431,3,2,13.2723610592344,0.0013120289415213,0.0228259058979607,-0.893878959726393,-3.51088484567255,-1.83816223929156,0.371386656335541,0.000446617821272064,0.0660385021681406,0.48042937063095,0.00184984891143164,0.10621940899915
HSPA9,vsBoth,431,3,2,13.2636348804665,0.00131776594750135,0.0229008834085337,-2.27039177905197,-3.59830184076208,-0.376886572781959,0.0231838228411581,0.000320301758555477,0.706257900280501,0.0421302466025737,0.00149009948545374,0.814871117807593
